SRA experiment	BioSample
SRX4452004	SAMN09708645
SRX4452006	SAMN09708643
SRX4452008	SAMN09708641
SRX4452010	SAMN09708639
SRX4452012	SAMN09708637
SRX4452014	SAMN09708635
SRX017911	SAMN00010286
SRX017882	SAMN00010257
SRX4452020	SAMN09708655
SRX188962	SAMN01180311
SRX188946	SAMN01180295
SRX017875	SAMN00010250
SRX4342282	SAMN09603991
SRX1532486	SAMN04417692
SRX356561	SAMN02359312
SRX031171	SAMN00120332
SRX764580	SAMN03202819
SRX017863	SAMN00010238
SRX764673	SAMN03202806
SRX764638	SAMN03202708
SRX017894	SAMN00010269
SRX017870	SAMN00010245
SRX764630	SAMN03202674
SRX764618	SAMN03202686
SRX764642	SAMN03202689
SRX017858	SAMN00010233
SRX100910	SAMN00739121
SRX031179	SAMN00120340
SRX100903	SAMN00739114
SRX764623	SAMN03202724
SRX10661057	SAMN18814418
SRX188950	SAMN01180299
SRX5608491	SAMN11290785
SRX4955508	SAMN10347804
SRX4955510	SAMN10347802
SRX4955512	SAMN10347800
SRX4955514	SAMN10347798
SRX4955516	SAMN10347796
SRX10424632	SAMN18444916
SRX1048462	SAMN03761443
SRX13625879	SAMN12583135
SRX1135997	SAMN03979293
SRX12877680	SAMN22820480
SRX13438150	SAMN24041242
DRX205256	SAMD00209795
DRX059607	SAMD00055680
SRX11783358	SAMN20813022
SRX2733322	SAMN06701901
SRX10715329	SAMN18926520
SRX13180425	SAMN23313519
SRX13180426	SAMN23313520
SRX13180427	SAMN23313521
SRX13180428	SAMN23313522
ERX5432157	SAMEA8569288
ERX1103207	SAMEA3368294
SRX5679903	SAMN11414803
SRX026659	SAMN00113200
ERX3774059	SAMEA6428126
SRX2675798	SAMN06645362
SRX8423460	SAMN15053768
SRX10239005	SAMN18139392
DRX100824	SAMD00097609
SRX11783293	SAMN20813027
SRX17134562	SAMN30370461
SRX1085070	SAMN03846958
SRX11783277	SAMN20813030
ERX5370387	SAMEA8507192
DRX384500	SAMD00520858
SRX255043	SAMN01991935
SRX17045763	SAMN30285768
SRX9350606	SAMN16532739
SRX092450	SAMN00710397
SRX18259601	SAMN31715307
SRX18259597	SAMN31715302
SRX625673	SAMN02872937
SRX5679924	SAMN11414773
SRX246077	SAMN01931902
SRX3746154	SAMN08616677
SRX4676640	SAMN10055324
SRX7528400	SAMN13809607
SRX2900605	SAMN07210971
SRX14524939	SAMN26814325
SRX10760256	SAMN18987057
SRX1048464	SAMN03761445
SRX17159336	SAMN30427864
SRX684730	SAMN03001978
SRX5133516	SAMN10596819
SRX11996391	SAMN21206963
SRX17152985	SAMN30413324
SRX2937338	SAMN07258796
SRX7280994	SAMN13497297
SRX6746432	SAMN12611298
DRX171266	SAMD00173569
SRX015825	SAMN00007538
SRX035160	SAMN00149686
SRX2733324	SAMN06701899
DRX021043	SAMD00019950
SRX8420194	SAMN15050675
SRX1048471	SAMN03761452
SRX8472388	SAMN15102422
SRX4949856	SAMN10341396
SRX026634	SAMN00113175
SRX1974321	SAMN05437877
ERX3613518	SAMEA6116913
ERX3613520	SAMEA6116915
SRX10158151	SAMN18040659
SRX10184505	SAMN18083297
SRX10465423	SAMN18524514
SRX8517997	SAMN15197988
SRX11595965	SAMN20460942
SRX2548277	SAMN06318276
SRX5608490	SAMN11290786
SRX11222225	SAMN19915721
SRX063287	SAMN00618994
SRX4949859	SAMN10341393
SRX4949860	SAMN10341392
SRX4949861	SAMN10341391
SRX4949862	SAMN10341390
SRX4949863	SAMN10341389
SRX4949864	SAMN10341388
SRX2957699	SAMN07278949
SRX4949867	SAMN10341385
SRX6430571	SAMN12254871
SRX6430576	SAMN12254888
SRX4949868	SAMN10341384
SRX17033221	SAMN30265321
SRX12877681	SAMN22820481
SRX10976463	SAMN06464543
ERX1103214	SAMEA3368301
ERX5359427	SAMEA8492456
SRX367993	SAMN02384486
SRX2370631	SAMN06044779
SRX2370752	SAMN06044775
SRX4949869	SAMN10341383
SRX243764	SAMN01923923
SRX367995	SAMN02384485
SRX10760268	SAMN18987045
SRX17737823	SAMN31065847
SRX7396397	SAMN13612150
SRX14649550	SAMN27058660
SRX5865715	SAMN11783640
SRX014753	SAMN00006856
SRX061973	SAMN00264813
SRX17029658	SAMN30262166
SRX5011772	SAMN10431604
SRX15144381	SAMN28079239
SRX8868924	SAMN15702500
SRX13625881	SAMN12583133
SRX10475465	SAMN06464334
SRX10064998	SAMN17850967
SRX515129	SAMN02725469
SRX20623993	SAMN35661485
DRX012076	SAMD00010818
ERX329611	SAMEA2224246
SRX8841617	SAMN15664617
SRX118079	SAMN00779659
SRX2380901	SAMN06067811
SRX092414	SAMN00710360
ERX297405	SAMEA2165289
ERX1825292	SAMEA26580418
SRX262143	SAMN02009219
SRX10650904	SAMN18819793
SRX9234588	SAMN16351294
SRX15036325	SAMN27923338
SRX10760266	SAMN18987047
ERX2277468	SAMEA104441598
SRX3421768	SAMN08097274
SRX2733326	SAMN06701897
SRX1665937	SAMN04588216
SRX265218	SAMN02045652
SRX8517975	SAMN15197985
SRX13450309	SAMN24217338
SRX4666811	SAMN10026964
ERX1103212	SAMEA3368299
ERX3774062	SAMEA6428129
ERX9147763	SAMEA14090969
ERX8316085	SAMEA13003455
SRX1460827	SAMN04313053
SRX13811033	SAMN25042769
SRX12877682	SAMN22820482
SRX13811034	SAMN25042770
ERX9971455	SAMEA111533049
SRX1048473	SAMN03761454
SRX5679882	SAMN11414795
SRX17045764	SAMN30285767
SRX6865323	SAMN12781132
DRX001457	SAMD00008869
SRX758130	SAMN03177074
DRX059812	SAMD00055856
SRX2438580	SAMN06172572
ERX378357	SAMEA2335244
SRX10004658	SAMN17761243
SRX1287844	SAMN04112834
SRX9605731	SAMN16956068
SRX13811035	SAMN25042771
SRX10001321	SAMN17734359
ERX2277480	SAMEA104441610
ERX2550614	SAMEA4603255
SRX11712766	SAMN20525582
SRX11712877	SAMN20525583
SRX8807166	SAMN15618758
SRX10424894	SAMN18443793
SRX014775	SAMN00006878
SRX356784	SAMN02359583
SRX246078	SAMN01931903
SRX17045765	SAMN30285766
SRX9632622	SAMN17002170
ERX297406	SAMEA2165292
SRX10650907	SAMN18819790
SRX1322298	SAMN04158407
SRX5673013	SAMN11403286
ERX378355	SAMEA2335242
SRX12877670	SAMN22820470
SRX10004664	SAMN17761237
SRX5944536	SAMN11917882
SRX813533	SAMN03266531
SRX6890789	SAMN12822425
SRX15152335	SAMN28089696
DRX402532	SAMD00555644
ERX3613522	SAMEA6116917
ERX9147765	SAMEA14090971
SRX19035367	SAMN32739998
ERX3613524	SAMEA6116919
SRX13811039	SAMN25042762
ERX1725516	SAMEA4462126
SRX10660854	SAMN18813926
SRX11964376	SAMN21037106
SRX13438136	SAMN24041228
SRX10058324	SAMN17841251
SRX014750	SAMN00006853
SRX573014	SAMN02839448
SRX4949855	SAMN10341397
ERX3225481	SAMEA5396153
SRX2018533	SAMN05571193
SRX10406260	SAMN18408868
SRX13898238	SAMN25243265
SRX13438148	SAMN24041240
SRX1091020	SAMN03853087
SRX5167217	SAMN10616544
SRX11783303	SAMN20812988
SRX10912704	SAMN19233504
ERX195059	SAMEA2043665
SRX732497	SAMN03107070
ERX3311232	SAMEA5568574
SRX084599	SAMN00672604
SRX11783289	SAMN20813080
SRX347422	SAMN02351682
SRX11783292	SAMN20812991
SRX683862	SAMN02388179
SRX10478218	SAMN05733866
SRX110936	SAMN00765036
